"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0007205","COG - Service Desk Support","My access to GP Cube has been denied","I need access for month end reporting"
"SCTASK0007203","COG - Service Desk Support","Request access for Gary Middleton and Ray Johnstone to the info@northumberlandfa.com inbox","Lynn Barber is to be on A/L from the 3/08/2020 and there will be friendly games to sanction and all other staff with access to this inbox are furloughed."
"SCTASK0007202","COG - Service Desk Support","Re REQ0005034 - I'm wasn't expecting IT to order the printer ink and paper. I just need your approval for me to purchase the items myself and claim back through the expenses system (which is what I've done previously)","See above."
"SCTASK0007198","COG - Service Desk Support","I need access to the email inbox of safeguarding@jerseyfa.com","I am the new Senior Safeguarding Lead"
"SCTASK0007197","COG - Service Desk Support","please can a new email address be setup to coordinate our county observer team obervers@cornwallfa.com","We would like to have a centralised access point for our observer team.  Please can obervers@cornwallfa.com be generated."
"SCTASK0007179","COG - DBA Support","A full back-up is done for each GP18 entity on the evening of Friday 21st August","From: Sam Wotton <Sam.Wotton@thefa.com> 
Sent: 28 July 2020 18:00
To: Sohail Mansaf <Sohail.Mansaf@thefa.com>
Cc: Annabel Barker <Annabel.Barker@thefa.com>
Subject: FW: Security Done for Sam Wootton

Hi Sohail,

To make you fully aware, I will be running the year-end close processes on the weekend of 22nd/23rd August. All users will need to be out of all GP entities by 3pm on Friday 21st August – I will send an email to the GP Users distribution list nearer the time.

Please can you make sure the following happens:

•	A full back-up is done for each GP18 entity on the evening of Friday 21st August
•	No other GP maintenance processes are scheduled for the weekend of 22nd/23rd August

Please can you also confirm whether I will be able to test the year-end close processes in the GP Test entities before the weekend of 22nd/23rd August?

Thanks,

Sam"
"SCTASK0007164","COG - Application Support","Louis Marks FAN. 1658572 Referee unable to register","error on page see attached."
"SCTASK0007163","COG - Service Desk Support","Incorrect budget amount pulling from GP to Proactis","Hi, we believe there is an incorrect amount pulling through to an FA Proactis budget code. The budget shows as £50k debit in GP, however Proactis is showing a £513,372 credit. The code in question is 1020-204505-EFAC2003-0000. I've done some digging and can't find any credit amounts in any combination of '1020-204' codes. Can you please advise which codes are feeding into the Proactis budget? Email attached from issue raiser. Cheers, Campbell"
"SCTASK0007155","COG - Desk side support - Wembley","Hi - i will need a licence for 'Power BI'","It is because I am leading on GRF KPI's, which Power BI will be used to gain the information from the County FA's. I will be using this weekly."
"SCTASK0007152","COG - Service Desk Support","Need Admin Username & Password to access newest version of Microsoft OneDrive to sync files","I am trying to sync Microsoft OneDrive files but need the newest version of OneDrive to do so. I need an admin username & password to access the latest version"
"SCTASK0007151","COG - Application Support","Lymington Town FC had their youth club merged by The FA IT Support the players are missing from the teams that were merged.","Register and submit player registrations"
"SCTASK0007150","COG - Desk side support - Wembley","Power BI License - James Tierney - Amateur FA","From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:42
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Yes. Emails to me is fine. 




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 09:41
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Sure Rahul.

I`ll speak with Sharad and get normal requests raised under your name. The request category shall follow no approvals but we will change subject line. 

You will receive the emails though. Will that be ok? 
Thanks 

Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:38
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Pls make sure line manager approvals don't go to Alan. T will annoy him




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 09:35
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Sure Rahul.

Hi Srikanth, Sharad and Puneet,

Please proceed per county but raise ticket under Rahul`s name. This is only for tracking purposes to understand who in the county holds the licenses. 

Thanks 

Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 28 July 2020 09:28
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

[External]
Raise 1 ticket. Don't want multiple triggers going out to users unless you want to log it under my name and bypass line manager approval.




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com> 
Sent: 28 July 2020 00:52
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

Hi Rahul,

How many user`s per CFA are in question. 

Suggest shall we raise individual ticket at county Level?

Thanks 
Kind Regards

Taran Narula
Service Delivery Manager, Cognizant Infrastructure Services. 

 

Mobile: +44 (0) 7899067571
Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com
      

From: Rahul Vyas <Rahul.Vyas@thefa.com> 
Sent: 27 July 2020 18:24
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Subject: FW: Power BI Licences
Importance: High

[External]
Hi Taran and Sharad

Can we pls allocate these licenses under 1 ticket?




Regards,

Rahul Vyas

Service Delivery Manager, Technology Dept.
The FA Group
M. +447778673140

From: Adam Doyle <Adam.Doyle@thefa.com> 
Sent: 24 July 2020 16:45
To: Rahul Vyas <Rahul.Vyas@thefa.com>
Cc: Taran Singh <Taran.SinghNarula@cognizant.com>; Sohail Mansaf <Sohail.Mansaf@thefa.com>; William De Souza Tigre <William.tigre@thefa.com>; Katrina Caraska <Katrina.Caraska@thefa.com>
Subject: Power BI Licences
Importance: High

Hi Rahul 

Hope all is well

See attached the current list of all requested Power BI licences for County FA's. Note on this list we have 102 submissions however we are going to need a minimum of 108 licences

•	We have allocated 1 licence to all County FA CEO's = 50
•	We have then allocated 1 additional licence to 1 staff member within each county
•	You will see on the list that some Counties have not yet submitted a 2nd person (6 CFAs)
•	However you will also see on the list some counties have submitted more than there allocation which they would like to pay the 3 year fee of £270 per licence

Therefore please can you allocate a licence for all of the 102 attached
•	94 of these licences are from the 100 allocation which The FA is paying for. @Katrina Caraska is chasing up the remaining 6 individuals from those CFAs yet to submit. However this maybe due the CFA completing a workforce review following the recent funding cuts and therefore are not able to confirm yet
•	8 of these licences are at cost price to the County FA which I will be deducting from their August 31st salary grant payment (£270 per licence x 8 = £2160)
•	When I make this deduction I will need a code in which to transfer this money to which will offset any charge you incur for additional licences, please can you provide this?

Please can you ensure that these licences are allocated to all staff on this list before COP Wednesday 29th July? We are going live with the product to all Counties on Friday 31st therefore keen to ensure that these are completed a day prior to this in case of any issue.

Once we confirm the additional 6 free licences I will ensure these are sent across. Following this we will close this process and all additional licences will  be at cost and go via the IT support process which you confirmed with Will.

Can you let me know if there are any issues with this

Adam

Adam Doyle | Project & Performance Manager
Grassroots Division
The FA Group
Wembley Stadium, Wembley, London HA9 0WS
Postal Address: Wembley Stadium, PO Box 1966, London SW1P 9EQ
T: 0800 169 1863 #4817 M: 07966 230995
www.TheFA.com"
"SCTASK0007149","COG - Desk side support - Wembley","Power BI Licence - Nichola Trigg - Worcestershire FA","From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:42
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Yes. Emails to me is fine.

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 09:41
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Sure Rahul.

 

I`ll speak with Sharad and get normal requests raised under your name. The request category shall follow no approvals but we will change subject line.

 

You will receive the emails though. Will that be ok?

Thanks

 

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:38
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Pls make sure line manager approvals don't go to Alan. T will annoy him

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 09:35
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Sure Rahul.

 

Hi Srikanth, Sharad and Puneet,

 

Please proceed per county but raise ticket under Rahul`s name. This is only for tracking purposes to understand who in the county holds the licenses.

 

Thanks

 

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:28
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Raise 1 ticket. Don't want multiple triggers going out to users unless you want to log it under my name and bypass line manager approval.

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 00:52
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Hi Rahul,

 

How many user`s per CFA are in question.

 

Suggest shall we raise individual ticket at county Level?

 

Thanks

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 27 July 2020 18:24
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Subject: FW: Power BI Licences
Importance: High

 

[External]

Hi Taran and Sharad

 

Can we pls allocate these licenses under 1 ticket?

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Adam Doyle <Adam.Doyle@thefa.com>
Sent: 24 July 2020 16:45
To: Rahul Vyas <Rahul.Vyas@thefa.com>
Cc: Taran Singh <Taran.SinghNarula@cognizant.com>; Sohail Mansaf <Sohail.Mansaf@thefa.com>; William De Souza Tigre <William.tigre@thefa.com>; Katrina Caraska <Katrina.Caraska@thefa.com>
Subject: Power BI Licences
Importance: High

 

Hi Rahul

 

Hope all is well

 

See attached the current list of all requested Power BI licences for County FA's. Note on this list we have 102 submissions however we are going to need a minimum of 108 licences

 

We have allocated 1 licence to all County FA CEO's = 50
We have then allocated 1 additional licence to 1 staff member within each county
You will see on the list that some Counties have not yet submitted a 2nd person (6 CFAs)
However you will also see on the list some counties have submitted more than there allocation which they would like to pay the 3 year fee of £270 per licence
 

Therefore please can you allocate a licence for all of the 102 attached

94 of these licences are from the 100 allocation which The FA is paying for. @Katrina Caraska is chasing up the remaining 6 individuals from those CFAs yet to submit. However this maybe due the CFA completing a workforce review following the recent funding cuts and therefore are not able to confirm yet
8 of these licences are at cost price to the County FA which I will be deducting from their August 31st salary grant payment (£270 per licence x 8 = £2160)
When I make this deduction I will need a code in which to transfer this money to which will offset any charge you incur for additional licences, please can you provide this?
 

Please can you ensure that these licences are allocated to all staff on this list before COP Wednesday 29th July? We are going live with the product to all Counties on Friday 31st therefore keen to ensure that these are completed a day prior to this in case of any issue.

 

Once we confirm the additional 6 free licences I will ensure these are sent across. Following this we will close this process and all additional licences will  be at cost and go via the IT support process which you confirmed with Will.

 

Can you let me know if there are any issues with this

 

Adam

 

image002Adam Doyle | Project & Performance Manager

Grassroots Division

The FA Group

Wembley Stadium, Wembley, London HA9 0WS

Postal Address: Wembley Stadium, PO Box 1966, London SW1P 9EQ

T: 0800 169 1863 #4817 M: 07966 230995

www.TheFA.com

 

 

 

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored.

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored.

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored."
"SCTASK0007148","COG - Desk side support - Wembley","Power BI Licence -  Oliver Selfe - Wiltshire FA","From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:42
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Yes. Emails to me is fine.

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 09:41
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Sure Rahul.

 

I`ll speak with Sharad and get normal requests raised under your name. The request category shall follow no approvals but we will change subject line.

 

You will receive the emails though. Will that be ok?

Thanks

 

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:38
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Pls make sure line manager approvals don't go to Alan. T will annoy him

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 09:35
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Sure Rahul.

 

Hi Srikanth, Sharad and Puneet,

 

Please proceed per county but raise ticket under Rahul`s name. This is only for tracking purposes to understand who in the county holds the licenses.

 

Thanks

 

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 28 July 2020 09:28
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

[External]

Raise 1 ticket. Don't want multiple triggers going out to users unless you want to log it under my name and bypass line manager approval.

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Taran.SinghNarula@cognizant.com <Taran.SinghNarula@cognizant.com>
Sent: 28 July 2020 00:52
To: Rahul Vyas <Rahul.Vyas@thefa.com>; SharadDavay.A@cognizant.com
Cc: Puneet Sharma <Puneet.Sharma@thefa.com>; Gaddam, Srikanth <Srikanth.Gaddam2@thefa.com>
Subject: RE: Power BI Licences

 

Hi Rahul,

 

How many user`s per CFA are in question.

 

Suggest shall we raise individual ticket at county Level?

 

Thanks

Kind Regards

 

Taran Narula

Service Delivery Manager, Cognizant Infrastructure Services.

 

cid:image001.jpg@01D425B5.BBF2D930

 

Mobile: +44 (0) 7899067571

Email:  Taran.SinghNarula@cognizant.com | www.cognizant.com

socail-media_grn_rgb-04socail-media_grn_rgb-02 socail-media_grn_rgb-01 socail-media_grn_rgb-03

From: Rahul Vyas <Rahul.Vyas@thefa.com>
Sent: 27 July 2020 18:24
To: Singh Narula, Taran (Cognizant) <Taran.SinghNarula@cognizant.com>; A, Sharad Davay (Cognizant) <SharadDavay.A@cognizant.com>
Subject: FW: Power BI Licences
Importance: High

 

[External]

Hi Taran and Sharad

 

Can we pls allocate these licenses under 1 ticket?

 

 

 

 

Regards,

 

Rahul Vyas

 

Service Delivery Manager, Technology Dept.

The FA Group

M. +447778673140

From: Adam Doyle <Adam.Doyle@thefa.com>
Sent: 24 July 2020 16:45
To: Rahul Vyas <Rahul.Vyas@thefa.com>
Cc: Taran Singh <Taran.SinghNarula@cognizant.com>; Sohail Mansaf <Sohail.Mansaf@thefa.com>; William De Souza Tigre <William.tigre@thefa.com>; Katrina Caraska <Katrina.Caraska@thefa.com>
Subject: Power BI Licences
Importance: High

 

Hi Rahul

 

Hope all is well

 

See attached the current list of all requested Power BI licences for County FA's. Note on this list we have 102 submissions however we are going to need a minimum of 108 licences

 

We have allocated 1 licence to all County FA CEO's = 50
We have then allocated 1 additional licence to 1 staff member within each county
You will see on the list that some Counties have not yet submitted a 2nd person (6 CFAs)
However you will also see on the list some counties have submitted more than there allocation which they would like to pay the 3 year fee of £270 per licence
 

Therefore please can you allocate a licence for all of the 102 attached

94 of these licences are from the 100 allocation which The FA is paying for. @Katrina Caraska is chasing up the remaining 6 individuals from those CFAs yet to submit. However this maybe due the CFA completing a workforce review following the recent funding cuts and therefore are not able to confirm yet
8 of these licences are at cost price to the County FA which I will be deducting from their August 31st salary grant payment (£270 per licence x 8 = £2160)
When I make this deduction I will need a code in which to transfer this money to which will offset any charge you incur for additional licences, please can you provide this?
 

Please can you ensure that these licences are allocated to all staff on this list before COP Wednesday 29th July? We are going live with the product to all Counties on Friday 31st therefore keen to ensure that these are completed a day prior to this in case of any issue.

 

Once we confirm the additional 6 free licences I will ensure these are sent across. Following this we will close this process and all additional licences will  be at cost and go via the IT support process which you confirmed with Will.

 

Can you let me know if there are any issues with this

 

Adam

 

image002Adam Doyle | Project & Performance Manager

Grassroots Division

The FA Group

Wembley Stadium, Wembley, London HA9 0WS

Postal Address: Wembley Stadium, PO Box 1966, London SW1P 9EQ

T: 0800 169 1863 #4817 M: 07966 230995

www.TheFA.com

 

 

 

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored.

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored.

This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored. This e-mail and any files transmitted with it are for the sole use of the intended recipient(s) and may contain confidential and privileged information. If you are not the intended recipient(s), please reply to the sender and destroy all copies of the original message. Any unauthorized review, use, disclosure, dissemination, forwarding, printing or copying of this email, and/or any action taken in reliance on the contents of this e-mail is strictly prohibited and may be unlawful. Where permitted by applicable law, this e-mail and other e-mail communications sent to and from Cognizant e-mail addresses may be monitored."
